"ID","PID","Yig","Cig","Z","X0","time1","lambda1","lambda2","lambda3","lambda4","lambda5","lambda6","lambda7","lambda8","lambda9","lambda10","delta","wt"
1,1,0,0.463336218329679,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1.69824229877405
2,1,0,0.926672436659358,1,1,0.926672436659358,0.5371610051433,0.174482082633181,0,0,0,0,0,0,0,0,1,1.69824229877405
3,1,0,0.926672436659358,1,1,1.85334487331872,1.46383344180266,1.10115451929254,0.711594549309222,0.140128970786848,0,0,0,0,0,0,1,1.69824229877405
4,1,0,0.926672436659358,1,1,2.78001730997807,2.39050587846202,2.0278269559519,1.63826698596858,1.06680140744621,0.470024897957537,0,0,0,0,0,1,1.69824229877405
5,1,0,0.926672436659358,1,1,3.70668974663743,3.31717831512137,2.95449939261126,2.56493942262794,1.99347384410556,1.3966973346169,0.630349609587878,0,0,0,0,1,1.69824229877405
6,1,0,0.926672436659358,1,1,4.63336218329679,4.24385075178073,3.88117182927061,3.4916118592873,2.92014628076492,2.32336977127625,1.55702204624724,0.750501699702703,0,0,0,1,1.69824229877405
7,1,0,0.926672436659358,1,1,5.56003461995615,5.17052318844009,4.80784426592997,4.41828429594665,3.84681871742428,3.25004220793561,2.48369448290659,1.67717413636206,0.824466895308783,0,0,1,1.69824229877405
8,1,0,0.926672436659358,1,1,6.48670705661551,6.09719562509945,5.73451670258933,5.34495673260601,4.77349115408364,4.17671464459497,3.41036691956595,2.60384657302142,1.75113933196814,0.507406468778432,0,1,1.69824229877405
9,1,0,0.926672436659358,1,1,7.41337949327487,7.02386806175881,6.66118913924869,6.27162916926537,5.700163590743,5.10338708125433,4.33703935622531,3.53051900968078,2.6778117686275,1.43407890543779,0,1,1.69824229877405
10,1,0,0.470870538954008,1,1,8.34005192993422,7.95054049841816,7.58786157590805,7.19830160592473,6.62683602740235,6.03005951791368,5.26371179288467,4.45719144634013,3.60448420528686,2.36075134209715,0.47423529197266,1,1.69824229877405
11,1,1,0.00753432062432946,1,1,8.35512057118288,7.96560913966682,7.6029302171567,7.21337024717339,6.64190466865101,6.04512815916234,5.27878043413333,4.47226008758879,3.61955284653552,2.37581998334581,0.489303933221319,1,1.69824229877405
12,2,0,0.463336218329679,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4.30596369916542
13,2,0,0.926672436659358,1,1,0.926672436659358,0.5371610051433,0.174482082633181,0,0,0,0,0,0,0,0,0,4.30596369916542
14,2,0,0.926672436659358,1,1,1.85334487331872,1.46383344180266,1.10115451929254,0.711594549309222,0.140128970786848,0,0,0,0,0,0,0,4.30596369916542
15,2,0,0.926672436659358,1,1,2.78001730997807,2.39050587846202,2.0278269559519,1.63826698596858,1.06680140744621,0.470024897957537,0,0,0,0,0,0,4.30596369916542
16,2,0,0.926672436659358,1,1,3.70668974663743,3.31717831512137,2.95449939261126,2.56493942262794,1.99347384410556,1.3966973346169,0.630349609587878,0,0,0,0,0,4.30596369916542
17,2,0,0.926672436659358,1,1,4.63336218329679,4.24385075178073,3.88117182927061,3.4916118592873,2.92014628076492,2.32336977127625,1.55702204624724,0.750501699702703,0,0,0,0,4.30596369916542
18,2,0,0.707599119203513,1,1,5.56003461995615,5.17052318844009,4.80784426592997,4.41828429594665,3.84681871742428,3.25004220793561,2.48369448290659,1.67717413636206,0.824466895308783,0,0,0,4.30596369916542
19,2,0,0.244262900873834,1,1,6.04856042170382,5.65904899018776,5.29637006767764,4.90681009769432,4.33534451917195,3.73856800968328,2.97222028465426,2.16569993810973,1.31299269705645,0.0692598338667416,0,0,4.30596369916542
20,3,0,0.463336218329679,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1.00507084000132
21,3,0,0.926672436659358,1,1,0.926672436659358,0.5371610051433,0.174482082633181,0,0,0,0,0,0,0,0,1,1.00507084000132
22,3,0,0.926672436659358,1,1,1.85334487331872,1.46383344180266,1.10115451929254,0.711594549309222,0.140128970786848,0,0,0,0,0,0,1,1.00507084000132
23,3,0,0.926672436659358,1,1,2.78001730997807,2.39050587846202,2.0278269559519,1.63826698596858,1.06680140744621,0.470024897957537,0,0,0,0,0,1,1.00507084000132
24,3,0,0.570233006008459,1,1,3.70668974663743,3.31717831512137,2.95449939261126,2.56493942262794,1.99347384410556,1.3966973346169,0.630349609587878,0,0,0,0,1,1.00507084000132
25,3,1,0.10689678767878,1,1,3.92048332199499,3.53097189047893,3.16829296796882,2.7787329979855,2.20726741946312,1.61049090997445,0.844143184945437,0.0376228384009045,0,0,0,1,1.00507084000132
26,4,0,0.463336218329679,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.03110552520243
27,4,0,0.926672436659358,1,1,0.926672436659358,0.5371610051433,0.174482082633181,0,0,0,0,0,0,0,0,0,1.03110552520243
28,4,0,0.926672436659358,1,1,1.85334487331872,1.46383344180266,1.10115451929254,0.711594549309222,0.140128970786848,0,0,0,0,0,0,0,1.03110552520243
29,4,0,0.926672436659358,1,1,2.78001730997807,2.39050587846202,2.0278269559519,1.63826698596858,1.06680140744621,0.470024897957537,0,0,0,0,0,0,1.03110552520243
30,4,0,0.926672436659358,1,1,3.70668974663743,3.31717831512137,2.95449939261126,2.56493942262794,1.99347384410556,1.3966973346169,0.630349609587878,0,0,0,0,0,1.03110552520243
31,4,0,0.926672436659358,1,1,4.63336218329679,4.24385075178073,3.88117182927061,3.4916118592873,2.92014628076492,2.32336977127625,1.55702204624724,0.750501699702703,0,0,0,0,1.03110552520243
32,4,0,0.926672436659358,1,1,5.56003461995615,5.17052318844009,4.80784426592997,4.41828429594665,3.84681871742428,3.25004220793561,2.48369448290659,1.67717413636206,0.824466895308783,0,0,0,1.03110552520243
33,4,0,0.926672436659358,1,1,6.48670705661551,6.09719562509945,5.73451670258933,5.34495673260601,4.77349115408364,4.17671464459497,3.41036691956595,2.60384657302142,1.75113933196814,0.507406468778432,0,0,1.03110552520243
34,4,0,0.926672436659358,1,1,7.41337949327487,7.02386806175881,6.66118913924869,6.27162916926537,5.700163590743,5.10338708125433,4.33703935622531,3.53051900968078,2.6778117686275,1.43407890543779,0,0,1.03110552520243
35,4,0,0.926672436659358,1,1,8.34005192993422,7.95054049841816,7.58786157590805,7.19830160592473,6.62683602740235,6.03005951791368,5.26371179288467,4.45719144634013,3.60448420528686,2.36075134209715,0.47423529197266,0,1.03110552520243
36,4,0,0.926672436659358,1,1,9.26672436659358,8.87721293507752,8.51453401256741,8.12497404258409,7.55350846406171,6.95673195457304,6.19038422954403,5.38386388299949,4.53115664194622,3.28742377875651,1.40090772863202,0,1.03110552520243
37,4,0,0.926672436659358,1,1,10.1933968032529,9.80388537173688,9.44120644922676,9.05164647924344,8.48018090072107,7.8834043912324,7.11705666620338,6.31053631965885,5.45782907860557,4.21409621541586,2.32758016529138,0,1.03110552520243
38,4,0,0.926672436659358,1,1,11.1200692399123,10.7305578083962,10.3678788858861,9.9783189159028,9.40685333738043,8.81007682789176,8.04372910286274,7.23720875631821,6.38450151526493,5.14076865207522,3.25425260195073,0,1.03110552520243
39,4,0,0.926672436659358,1,1,12.0467416765717,11.6572302450556,11.2945513225455,10.9049913525622,10.3335257740398,9.73674926455112,8.9704015395221,8.16388119297757,7.31117395192429,6.06744108873458,4.18092503861009,0,1.03110552520243
40,4,0,0.926672436659358,1,1,12.973414113231,12.583902681715,12.2212237592048,11.8316637892215,11.2601982106991,10.6634217012105,9.89707397618146,9.09055362963693,8.23784638858365,6.99411352539394,5.10759747526945,0,1.03110552520243
41,4,0,0.926672436659358,1,1,13.9000865498904,13.5105751183743,13.1478961958642,12.7583362258809,12.1868706473585,11.5900941378698,10.8237464128408,10.0172260662963,9.16451882524301,7.9207859620533,6.03426991192881,0,1.03110552520243
42,4,0,0.926672436659358,1,1,14.8267589865497,14.4372475550337,14.0745686325236,13.6850086625402,13.1135430840179,12.5167665745292,11.7504188495002,10.9438985029556,10.0911912619024,8.84745839871266,6.96094234858817,0,1.03110552520243
43,4,0,0.926672436659358,1,1,15.7534314232091,15.363919991693,15.0012410691829,14.6116810991996,14.0402155206772,13.4434390111886,12.6770912861595,11.870570939615,11.0178636985617,9.77413083537201,7.88761478524753,0,1.03110552520243
44,4,0,0.926672436659358,1,1,16.6801038598684,16.2905924283524,15.9279135058423,15.538353535859,14.9668879573366,14.3701114478479,13.6037637228189,12.7972433762744,11.9445361352211,10.7008032720314,8.81428722190688,0,1.03110552520243
45,4,0,0.926672436659359,1,1,17.6067762965278,17.2172648650117,16.8545859425016,16.4650259725183,15.8935603939959,15.2967838845073,14.5304361594782,13.7239158129337,12.8712085718804,11.6274757086907,9.74095965856624,0,1.03110552520243
46,4,0,0.926672436659358,1,1,18.5334487331872,18.1439373016711,17.781258379161,17.3916984091777,16.8202328306553,16.2234563211666,15.4571085961376,14.6505882495931,13.7978810085398,12.5541481453501,10.6676320952256,0,1.03110552520243
