"ID","PID","Yig","Cig","Z","X0","time1","lambda1","lambda2","lambda3","lambda4","lambda5","lambda6","lambda7","lambda8","lambda9","lambda10","delta","wt"
1,5,0,0.275787293838957,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.14836447863346
2,5,0,0.551574587677914,0,1,0.551574587677914,0,0,0,0,0,0,0,0,0,0,1,1.14836447863346
3,5,0,0.551574587677914,0,1,1.10314917535583,0.453319617706512,0.0391003218223167,0,0,0,0,0,0,0,0,1,1.14836447863346
4,5,0,0.336774049703654,0,1,1.65472376303374,1.00489420538443,0.590674909500231,0,0,0,0,0,0,0,0,1,1.14836447863346
5,5,1,0.060986755864697,0,1,1.77669727476314,1.12686771711382,0.712648421229625,0.0842199819585816,0,0,0,0,0,0,0,1,1.14836447863346
6,8,0,0.275787293838957,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.04544772027892
7,8,0,0.551574587677914,0,1,0.551574587677914,0,0,0,0,0,0,0,0,0,0,1,1.04544772027892
8,8,0,0.551574587677914,0,1,1.10314917535583,0.453319617706512,0.0391003218223167,0,0,0,0,0,0,0,0,1,1.04544772027892
9,8,0,0.551574587677914,0,1,1.65472376303374,1.00489420538443,0.590674909500231,0,0,0,0,0,0,0,0,1,1.04544772027892
10,8,0,0.551574587677914,0,1,2.20629835071166,1.55646879306234,1.14224949717815,0.513821057907102,0.223139108779808,0,0,0,0,0,0,1,1.04544772027892
11,8,0,0.551574587677914,0,1,2.75787293838957,2.10804338074026,1.69382408485606,1.06539564558502,0.774713696457722,0.0833944458420155,0,0,0,0,0,1,1.04544772027892
12,8,0,0.551574587677914,0,1,3.30944752606749,2.65961796841817,2.24539867253397,1.61697023326293,1.32628828413564,0.63496903351993,0.140265895967447,0,0,0,0,1,1.04544772027892
13,8,0,0.551574587677914,0,1,3.8610221137454,3.21119255609608,2.79697326021189,2.16854482094084,1.87786287181355,1.18654362119784,0.691840483645362,0.0149468991711932,0,0,0,1,1.04544772027892
14,8,0,0.551574587677914,0,1,4.41259670142331,3.762767143774,3.3485478478898,2.72011940861876,2.42943745949146,1.73811820887576,1.24341507132328,0.566521486849108,0.0240495213213929,0,0,1,1.04544772027892
15,8,0,0.551574587677914,0,1,4.96417128910123,4.31434173145191,3.90012243556772,3.27169399629667,2.98101204716938,2.28969279655367,1.79498965900119,1.11809607452702,0.575624108999307,0,0,1,1.04544772027892
