"ID","PID","Yig","Cig","Z","X0","time1","lambda1","lambda2","lambda3","lambda4","lambda5","lambda6","lambda7","lambda8","lambda9","lambda10","delta","wt"
1,1,0,0.463336218329679,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
2,1,0,0.926672436659358,1,1,0.926672436659358,0.612322142917669,0.262229369045708,0,0,0,0,0,0,0,0,1,1
3,1,0,0.926672436659358,1,1,1.85334487331872,1.53899457957703,1.18890180570507,0.844532056714142,0.352109300553438,0,0,0,0,0,0,1,1
4,1,0,0.926672436659358,1,1,2.78001730997807,2.46566701623638,2.11557424236442,1.7712044933735,1.2787817372128,0.576237735917769,0,0,0,0,0,1,1
5,1,0,0.926672436659358,1,1,3.70668974663743,3.39233945289574,3.04224667902378,2.69787693003286,2.20545417387215,1.50291017257713,0.672654749158629,0,0,0,0,1,1
6,1,0,0.926672436659358,1,1,4.63336218329679,4.3190118895551,3.96891911568314,3.62454936669222,3.13212661053151,2.42958260923649,1.59932718581799,0.750501699702703,0,0,0,1,1
7,1,0,0.926672436659358,1,1,5.56003461995615,5.24568432621446,4.8955915523425,4.55122180335157,4.05879904719087,3.35625504589584,2.52599962247734,1.67717413636206,0.688145778748492,0,0,1,1
8,1,0,0.926672436659358,1,1,6.48670705661551,6.17235676287382,5.82226398900186,5.47789424001093,4.98547148385023,4.2829274825552,3.4526720591367,2.60384657302142,1.61481821540785,0.45934291862223,0,1,1
9,1,0,0.926672436659358,1,1,7.41337949327487,7.09902919953318,6.74893642566122,6.40456667667029,5.91214392050959,5.20959991921456,4.37934449579606,3.53051900968078,2.54149065206721,1.38601535528159,0,1,1
10,1,0,0.470870538954008,1,1,8.34005192993422,8.02570163619253,7.67560886232057,7.33123911332965,6.83881635716894,6.13627235587392,5.30601693245542,4.45719144634013,3.46816308872657,2.31268779194095,0.361610166007736,1,1
11,1,1,0.00753432062432946,1,1,8.35512057118288,8.04077027744119,7.69067750356923,7.34630775457831,6.8538849984176,6.15134099712258,5.32108557370408,4.47226008758879,3.48323172997523,2.32775643318961,0.376678807256395,1,1
12,2,0,0.463336218329679,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
13,2,0,0.926672436659358,1,1,0.926672436659358,0.612322142917669,0.262229369045708,0,0,0,0,0,0,0,0,0,1
14,2,0,0.926672436659358,1,1,1.85334487331872,1.53899457957703,1.18890180570507,0.844532056714142,0.352109300553438,0,0,0,0,0,0,0,1
15,2,0,0.926672436659358,1,1,2.78001730997807,2.46566701623638,2.11557424236442,1.7712044933735,1.2787817372128,0.576237735917769,0,0,0,0,0,0,1
16,2,0,0.926672436659358,1,1,3.70668974663743,3.39233945289574,3.04224667902378,2.69787693003286,2.20545417387215,1.50291017257713,0.672654749158629,0,0,0,0,0,1
17,2,0,0.926672436659358,1,1,4.63336218329679,4.3190118895551,3.96891911568314,3.62454936669222,3.13212661053151,2.42958260923649,1.59932718581799,0.750501699702703,0,0,0,0,1
18,2,0,0.707599119203513,1,1,5.56003461995615,5.24568432621446,4.8955915523425,4.55122180335157,4.05879904719087,3.35625504589584,2.52599962247734,1.67717413636206,0.688145778748492,0,0,0,1
19,2,0,0.244262900873834,1,1,6.04856042170382,5.73421012796213,5.38411735409017,5.03974760509924,4.54732484893854,3.84478084764351,3.01452542422501,2.16569993810973,1.17667158049616,0.0211962837105402,0,0,1
20,3,0,0.463336218329679,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
21,3,0,0.926672436659358,1,1,0.926672436659358,0.612322142917669,0.262229369045708,0,0,0,0,0,0,0,0,1,1
22,3,0,0.926672436659358,1,1,1.85334487331872,1.53899457957703,1.18890180570507,0.844532056714142,0.352109300553438,0,0,0,0,0,0,1,1
23,3,0,0.926672436659358,1,1,2.78001730997807,2.46566701623638,2.11557424236442,1.7712044933735,1.2787817372128,0.576237735917769,0,0,0,0,0,1,1
24,3,0,0.570233006008459,1,1,3.70668974663743,3.39233945289574,3.04224667902378,2.69787693003286,2.20545417387215,1.50291017257713,0.672654749158629,0,0,0,0,1,1
25,3,1,0.10689678767878,1,1,3.92048332199499,3.6061330282533,3.25604025438134,2.91167050539042,2.41924774922971,1.71670374793469,0.886448324516188,0.0376228384009045,0,0,0,1,1
26,4,0,0.463336218329679,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
27,4,0,0.926672436659358,1,1,0.926672436659358,0.612322142917669,0.262229369045708,0,0,0,0,0,0,0,0,0,1
28,4,0,0.926672436659358,1,1,1.85334487331872,1.53899457957703,1.18890180570507,0.844532056714142,0.352109300553438,0,0,0,0,0,0,0,1
29,4,0,0.926672436659358,1,1,2.78001730997807,2.46566701623638,2.11557424236442,1.7712044933735,1.2787817372128,0.576237735917769,0,0,0,0,0,0,1
30,4,0,0.926672436659358,1,1,3.70668974663743,3.39233945289574,3.04224667902378,2.69787693003286,2.20545417387215,1.50291017257713,0.672654749158629,0,0,0,0,0,1
31,4,0,0.926672436659358,1,1,4.63336218329679,4.3190118895551,3.96891911568314,3.62454936669222,3.13212661053151,2.42958260923649,1.59932718581799,0.750501699702703,0,0,0,0,1
32,4,0,0.926672436659358,1,1,5.56003461995615,5.24568432621446,4.8955915523425,4.55122180335157,4.05879904719087,3.35625504589584,2.52599962247734,1.67717413636206,0.688145778748492,0,0,0,1
33,4,0,0.926672436659358,1,1,6.48670705661551,6.17235676287382,5.82226398900186,5.47789424001093,4.98547148385023,4.2829274825552,3.4526720591367,2.60384657302142,1.61481821540785,0.45934291862223,0,0,1
34,4,0,0.926672436659358,1,1,7.41337949327487,7.09902919953318,6.74893642566122,6.40456667667029,5.91214392050959,5.20959991921456,4.37934449579606,3.53051900968078,2.54149065206721,1.38601535528159,0,0,1
35,4,0,0.926672436659358,1,1,8.34005192993422,8.02570163619253,7.67560886232057,7.33123911332965,6.83881635716894,6.13627235587392,5.30601693245542,4.45719144634013,3.46816308872657,2.31268779194095,0.361610166007736,0,1
36,4,0,0.926672436659358,1,1,9.26672436659358,8.95237407285189,8.60228129897993,8.25791154998901,7.7654887938283,7.06294479253328,6.23268936911478,5.38386388299949,4.39483552538593,3.23936022860031,1.2882826026671,0,1
37,4,0,0.926672436659358,1,1,10.1933968032529,9.87904650951125,9.52895373563929,9.18458398664836,8.69216123048766,7.98961722919263,7.15936180577414,6.31053631965885,5.32150796204528,4.16603266525966,2.21495503932645,0,1
38,4,0,0.926672436659358,1,1,11.1200692399123,10.8057189461706,10.4556261722986,10.1112564233077,9.61883366714702,8.91628966585199,8.08603424243349,7.23720875631821,6.24818039870464,5.09270510191902,3.14162747598581,0,1
39,4,0,0.926672436659358,1,1,12.0467416765717,11.73239138283,11.382298608958,11.0379288599671,10.5455061038064,9.84296210251135,9.01270667909285,8.16388119297757,7.174852835364,6.01937753857838,4.06829991264517,0,1
40,4,0,0.926672436659358,1,1,12.973414113231,12.6590638194893,12.3089710456174,11.9646012966264,11.4721785404657,10.7696345391707,9.93937911575221,9.09055362963693,8.10152527202336,6.94604997523774,4.99497234930453,0,1
41,4,0,0.926672436659358,1,1,13.9000865498904,13.5857362561487,13.2356434822767,12.8912737332858,12.3988509771251,11.6963069758301,10.8660515524116,10.0172260662963,9.02819770868272,7.8727224118971,5.92164478596389,0,1
42,4,0,0.926672436659358,1,1,14.8267589865497,14.512408692808,14.1623159189361,13.8179461699452,13.3255234137845,12.6229794124894,11.7927239890709,10.9438985029556,9.95487014534207,8.79939484855645,6.84831722262324,0,1
43,4,0,0.926672436659358,1,1,15.7534314232091,15.4390811294674,15.0889883555954,14.7446186066045,14.2521958504438,13.5496518491488,12.7193964257303,11.870570939615,10.8815425820014,9.72606728521581,7.7749896592826,0,1
44,4,0,0.926672436659358,1,1,16.6801038598684,16.3657535661268,16.0156607922548,15.6712910432639,15.1788682871032,14.4763242858081,13.6460688623896,12.7972433762744,11.8082150186608,10.6527397218752,8.70166209594196,0,1
45,4,0,0.926672436659359,1,1,17.6067762965278,17.2924260027861,16.9423332289142,16.5979634799232,16.1055407237625,15.4029967224675,14.572741299049,13.7239158129337,12.7348874553201,11.5794121585345,9.62833453260132,0,1
46,4,0,0.926672436659358,1,1,18.5334487331872,18.2190984394455,17.8690056655735,17.5246359165826,17.0322131604219,16.3296691591269,15.4994137357084,14.6505882495931,13.6615598919795,12.5060845951939,10.5550069692607,0,1
47,4,0,0.926672436659358,1,1,19.4601211698465,19.1457708761048,18.7956781022329,18.4513083532419,17.9588855970812,17.2563415957862,16.4260861723677,15.5772606862524,14.5882323286389,13.4327570318532,11.48167940592,0,1
48,4,0,0.926672436659359,1,1,20.3867936065059,20.0724433127642,19.7223505388922,19.3779807899013,18.8855580337406,18.1830140324456,17.3527586090271,16.5039331229118,15.5149047652982,14.3594294685126,12.4083518425794,0,1
49,4,0,0.926672436659358,1,1,21.3134660431652,20.9991157494235,20.6490229755516,20.3046532265607,19.8122304704,19.1096864691049,18.2794310456864,17.4306055595712,16.4415772019576,15.286101905172,13.3350242792388,0,1
50,4,0,0.926672436659358,1,1,22.2401384798246,21.9257881860829,21.5756954122109,21.23132566322,20.7389029070593,20.0363589057643,19.2061034823458,18.3572779962305,17.3682496386169,16.2127743418313,14.2616967158981,0,1
51,4,0,0.926672436659359,1,1,23.166810916484,22.8524606227423,22.5023678488703,22.1579980998794,21.6655753437187,20.9630313424236,20.1327759190051,19.2839504328899,18.2949220752763,17.1394467784907,15.1883691525575,0,1
52,4,0,0.47968017352661,1,1,24.0934833531433,23.7791330594016,23.4290402855297,23.0846705365387,22.592247780378,21.889703779083,21.0594483556645,20.2106228695492,19.2215945119357,18.06611921515,16.1150415892168,0,1
53,4,0,0.0163439551969304,1,1,24.1261712635372,23.8118209697955,23.4617281959235,23.1173584469326,22.6249356907719,21.9223916894769,21.0921362660584,20.2433107799431,19.2542824223295,18.0988071255439,16.1477294996107,0,1
54,6,0,0.463336218329679,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
55,6,0,0.926672436659358,1,1,0.926672436659358,0.612322142917669,0.262229369045708,0,0,0,0,0,0,0,0,1,1
56,6,0,0.926672436659358,1,1,1.85334487331872,1.53899457957703,1.18890180570507,0.844532056714142,0.352109300553438,0,0,0,0,0,0,1,1
57,6,0,0.749105617972888,1,1,2.78001730997807,2.46566701623638,2.11557424236442,1.7712044933735,1.2787817372128,0.576237735917769,0,0,0,0,0,1,1
58,6,1,0.285769399643209,1,1,3.35155610926449,3.0372058155228,2.68711304165084,2.34274329265992,1.85032053649921,1.14777653520419,0.317521111785689,0,0,0,0,1,1
59,7,0,0.101287195513852,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
60,7,1,0.101287195513852,1,1,0.202574391027704,0,0,0,0,0,0,0,0,0,0,1,1
61,12,0,0.463336218329679,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
62,12,0,0.926672436659358,1,1,0.926672436659358,0.612322142917669,0.262229369045708,0,0,0,0,0,0,0,0,1,1
63,12,0,0.926672436659358,1,1,1.85334487331872,1.53899457957703,1.18890180570507,0.844532056714142,0.352109300553438,0,0,0,0,0,0,1,1
64,12,0,0.926672436659358,1,1,2.78001730997807,2.46566701623638,2.11557424236442,1.7712044933735,1.2787817372128,0.576237735917769,0,0,0,0,0,1,1
